park_name,park_code,year,month,visits
Pinnacles National Park,PINN,2007,1,10006
Pinnacles National Park,PINN,2007,2,11119
Pinnacles National Park,PINN,2007,3,17662
Pinnacles National Park,PINN,2007,4,30226
Pinnacles National Park,PINN,2007,5,15504
Pinnacles National Park,PINN,2007,6,11041
Pinnacles National Park,PINN,2007,7,12406
Pinnacles National Park,PINN,2007,8,13598
Pinnacles National Park,PINN,2007,9,8144
Pinnacles National Park,PINN,2007,10,13373
Pinnacles National Park,PINN,2007,11,10652
Pinnacles National Park,PINN,2007,12,7288
Dry Tortugas National Park,DRTO,2011,1,3142
Dry Tortugas National Park,DRTO,2011,2,4706
Dry Tortugas National Park,DRTO,2011,3,4578
Dry Tortugas National Park,DRTO,2011,4,5811
Dry Tortugas National Park,DRTO,2011,5,11166
Dry Tortugas National Park,DRTO,2011,6,11518
Dry Tortugas National Park,DRTO,2011,7,11164
Dry Tortugas National Park,DRTO,2011,8,5481
Dry Tortugas National Park,DRTO,2011,9,3910
Dry Tortugas National Park,DRTO,2011,10,3006
Dry Tortugas National Park,DRTO,2011,11,5212
Dry Tortugas National Park,DRTO,2011,12,5477
Rocky Mountain National Park,ROMO,2007,1,51340
Rocky Mountain National Park,ROMO,2007,2,51929
Rocky Mountain National Park,ROMO,2007,3,77306
Rocky Mountain National Park,ROMO,2007,4,75190
Rocky Mountain National Park,ROMO,2007,5,188187
Rocky Mountain National Park,ROMO,2007,6,468770
Congaree National Park,CONG,2011,1,6657
Congaree National Park,CONG,2011,2,8621
Congaree National Park,CONG,2011,3,12582
Congaree National Park,CONG,2011,4,11277
Congaree National Park,CONG,2011,5,11215
Congaree National Park,CONG,2011,6,11689
Congaree National Park,CONG,2011,7,3233
Congaree National Park,CONG,2011,8,11117
Congaree National Park,CONG,2011,9,15493
Congaree National Park,CONG,2011,10,11676
Congaree National Park,CONG,2011,11,9825
Congaree National Park,CONG,2011,12,6781
Rocky Mountain National Park,ROMO,2007,7,653885
Rocky Mountain National Park,ROMO,2007,8,559939
Rocky Mountain National Park,ROMO,2007,9,442327
Rocky Mountain National Park,ROMO,2007,10,204583
Rocky Mountain National Park,ROMO,2007,11,70953
Rocky Mountain National Park,ROMO,2007,12,50974
Badlands National Park,BADL,2011,1,6646
Badlands National Park,BADL,2011,2,6818
Badlands National Park,BADL,2011,3,16375
Badlands National Park,BADL,2011,4,20652
Badlands National Park,BADL,2011,5,58637
Badlands National Park,BADL,2011,6,169056
Badlands National Park,BADL,2011,7,217178
Badlands National Park,BADL,2011,8,188638
Badlands National Park,BADL,2011,9,116187
Badlands National Park,BADL,2011,10,40910
Badlands National Park,BADL,2011,11,17133
Badlands National Park,BADL,2011,12,12511
Sequoia & Kings Canyon National Park,KICA,2011,1,20336
Sequoia & Kings Canyon National Park,KICA,2011,2,15770
Sequoia & Kings Canyon National Park,KICA,2011,3,15722
Sequoia & Kings Canyon National Park,KICA,2011,4,28776
Sequoia & Kings Canyon National Park,KICA,2011,5,55308
Sequoia & Kings Canyon National Park,KICA,2011,6,70748
Sequoia & Kings Canyon National Park,KICA,2011,7,105929
Sequoia & Kings Canyon National Park,KICA,2011,8,96141
Sequoia & Kings Canyon National Park,KICA,2011,9,69304
Sequoia & Kings Canyon National Park,KICA,2011,10,48408
Sequoia & Kings Canyon National Park,KICA,2011,11,21604
Sequoia & Kings Canyon National Park,KICA,2011,12,18764
Virgin Islands National Park,VIIS,2007,1,66298
Virgin Islands National Park,VIIS,2007,2,66038
Virgin Islands National Park,VIIS,2007,3,75543
Virgin Islands National Park,VIIS,2007,4,54732
Virgin Islands National Park,VIIS,2007,5,45967
Virgin Islands National Park,VIIS,2007,6,48963
Virgin Islands National Park,VIIS,2007,7,51184
Virgin Islands National Park,VIIS,2007,8,38168
Virgin Islands National Park,VIIS,2007,9,17759
Virgin Islands National Park,VIIS,2007,10,24705
Virgin Islands National Park,VIIS,2007,11,39253
Virgin Islands National Park,VIIS,2007,12,42772
Badlands National Park,BADL,1979,1,16992
Badlands National Park,BADL,1979,2,15887
Badlands National Park,BADL,1979,3,19375
Badlands National Park,BADL,1979,4,26056
Badlands National Park,BADL,1979,5,54710
Badlands National Park,BADL,1979,6,138423
Badlands National Park,BADL,1979,7,208498
Badlands National Park,BADL,1979,8,194501
Badlands National Park,BADL,1979,9,91880
Badlands National Park,BADL,1979,10,52486
Badlands National Park,BADL,1979,11,21169
Badlands National Park,BADL,1979,12,18023
Badlands National Park,BADL,1980,1,18025
Acadia National Park,ACAD,1979,1,6011
Acadia National Park,ACAD,1979,2,5243
Acadia National Park,ACAD,1979,3,11165
Acadia National Park,ACAD,1979,4,219351
Acadia National Park,ACAD,1979,5,339416
Acadia National Park,ACAD,1979,6,543205
Acadia National Park,ACAD,1979,7,383341
Acadia National Park,ACAD,1979,8,466928
Acadia National Park,ACAD,1979,9,320138
Acadia National Park,ACAD,1979,10,300976
Badlands National Park,BADL,1980,2,15890
Badlands National Park,BADL,1980,3,18203
Badlands National Park,BADL,1980,4,26416
Badlands National Park,BADL,1980,5,64454
Badlands National Park,BADL,1980,6,167212
Badlands National Park,BADL,1980,7,240671
Badlands National Park,BADL,1980,8,216200
Badlands National Park,BADL,1980,9,99345
Badlands National Park,BADL,1980,10,46812
Badlands National Park,BADL,1980,11,23410
Badlands National Park,BADL,1980,12,16014
Haleakalā National Park,HALE,2011,1,74656
Haleakalā National Park,HALE,2011,2,74289
Haleakalā National Park,HALE,2011,3,84660
Haleakalā National Park,HALE,2011,4,70373
Haleakalā National Park,HALE,2011,5,78907
Haleakalā National Park,HALE,2011,6,77327
Haleakalā National Park,HALE,2011,7,83291
Haleakalā National Park,HALE,2011,8,81116
Haleakalā National Park,HALE,2011,9,83297
Haleakalā National Park,HALE,2011,10,84262
Badlands National Park,BADL,1981,1,16460
Badlands National Park,BADL,1981,2,15772
Badlands National Park,BADL,1981,3,20524
Badlands National Park,BADL,1981,4,34168
Badlands National Park,BADL,1981,5,73357
Badlands National Park,BADL,1981,6,192909
Badlands National Park,BADL,1981,7,299383
Badlands National Park,BADL,1981,8,254029
Badlands National Park,BADL,1981,9,182838
Badlands National Park,BADL,1981,10,52592
Acadia National Park,ACAD,1979,11,183750
Acadia National Park,ACAD,1979,12,7842
Acadia National Park,ACAD,1980,1,8966
Acadia National Park,ACAD,1980,2,8225
Acadia National Park,ACAD,1980,3,7505
Acadia National Park,ACAD,1980,4,182879
Acadia National Park,ACAD,1980,5,209301
Acadia National Park,ACAD,1980,6,359552
Acadia National Park,ACAD,1980,7,533885
Acadia National Park,ACAD,1980,8,633067
Haleakalā National Park,HALE,2011,11,80617
Haleakalā National Park,HALE,2011,12,84194
Badlands National Park,BADL,1981,11,20636
Badlands National Park,BADL,1981,12,13284
Badlands National Park,BADL,1982,1,12264
Badlands National Park,BADL,1982,2,15202
Badlands National Park,BADL,1982,3,17899
Badlands National Park,BADL,1982,4,26518
Badlands National Park,BADL,1982,5,69073
Badlands National Park,BADL,1982,6,188644
Badlands National Park,BADL,1982,7,270076
Badlands National Park,BADL,1982,8,242958
Acadia National Park,ACAD,1980,9,282636
Acadia National Park,ACAD,1980,10,332937
Acadia National Park,ACAD,1980,11,200461
Acadia National Park,ACAD,1980,12,20252
Acadia National Park,ACAD,1981,1,23330
Acadia National Park,ACAD,1981,2,16207
Acadia National Park,ACAD,1981,3,21923
Acadia National Park,ACAD,1981,4,188071
Acadia National Park,ACAD,1981,5,212500
Acadia National Park,ACAD,1981,6,366518
Acadia National Park,ACAD,1981,7,545981
Badlands National Park,BADL,1982,9,110020
Badlands National Park,BADL,1982,10,45298
Badlands National Park,BADL,1982,11,19208
Badlands National Park,BADL,1982,12,13324
Badlands National Park,BADL,1983,1,13843
Badlands National Park,BADL,1983,2,17445
Badlands National Park,BADL,1983,3,18776
Badlands National Park,BADL,1983,4,25203
Badlands National Park,BADL,1983,5,65184
Badlands National Park,BADL,1983,6,186972
Badlands National Park,BADL,1983,7,268962
Badlands National Park,BADL,1983,8,223451
Badlands National Park,BADL,1983,9,122929
Badlands National Park,BADL,1983,10,48777
Badlands National Park,BADL,1983,11,22014
Badlands National Park,BADL,1983,12,13425
Badlands National Park,BADL,1984,1,13148
Badlands National Park,BADL,1984,2,15927
Badlands National Park,BADL,1984,3,16203
Badlands National Park,BADL,1984,4,24789
Badlands National Park,BADL,1984,5,75496
Acadia National Park,ACAD,1981,8,616233
Acadia National Park,ACAD,1981,9,463823
Acadia National Park,ACAD,1981,10,313788
Acadia National Park,ACAD,1981,11,203741
Acadia National Park,ACAD,1981,12,25857
Acadia National Park,ACAD,1982,1,21425
Acadia National Park,ACAD,1982,2,22210
Acadia National Park,ACAD,1982,3,36866
Acadia National Park,ACAD,1982,4,193208
Acadia National Park,ACAD,1982,5,261452
Badlands National Park,BADL,1984,6,202728
Badlands National Park,BADL,1984,7,298925
Badlands National Park,BADL,1984,8,238997
Badlands National Park,BADL,1984,9,139742
Badlands National Park,BADL,1984,10,51005
Badlands National Park,BADL,1984,11,22026
Badlands National Park,BADL,1984,12,14689
Badlands National Park,BADL,1985,1,13252
Badlands National Park,BADL,1985,2,18072
Badlands National Park,BADL,1985,3,16644
Badlands National Park,BADL,1985,4,33185
Badlands National Park,BADL,1985,5,77782
Badlands National Park,BADL,1985,6,188172
Badlands National Park,BADL,1985,7,199978
Badlands National Park,BADL,1985,8,222573
Badlands National Park,BADL,1985,9,104192
Badlands National Park,BADL,1985,10,50506
Badlands National Park,BADL,1985,11,13811
Badlands National Park,BADL,1985,12,12075
Badlands National Park,BADL,1986,1,13173
Badlands National Park,BADL,1986,2,12457
Badlands National Park,BADL,1986,3,18332
Badlands National Park,BADL,1986,4,28062
Badlands National Park,BADL,1986,5,81991
Badlands National Park,BADL,1986,6,168772
Badlands National Park,BADL,1986,7,262462
Badlands National Park,BADL,1986,8,249847
Badlands National Park,BADL,1986,9,115800
Badlands National Park,BADL,1986,10,41512
Badlands National Park,BADL,1986,11,17110
Badlands National Park,BADL,1986,12,16112
Badlands National Park,BADL,1987,1,14852
Badlands National Park,BADL,1987,2,15034
Badlands National Park,BADL,1987,3,16654
Badlands National Park,BADL,1987,4,33749
Badlands National Park,BADL,1987,5,90443
Badlands National Park,BADL,1987,6,205798
Badlands National Park,BADL,1987,7,282231
Badlands National Park,BADL,1987,8,294355
Badlands National Park,BADL,1987,9,127609
Badlands National Park,BADL,1987,10,52398
Badlands National Park,BADL,1987,11,24631
Badlands National Park,BADL,1987,12,16644
Badlands National Park,BADL,1988,1,13580
Badlands National Park,BADL,1988,2,15719
Badlands National Park,BADL,1988,3,20982
Badlands National Park,BADL,1988,4,35432
Badlands National Park,BADL,1988,5,97143
Badlands National Park,BADL,1988,6,212076
Badlands National Park,BADL,1988,7,281371
Badlands National Park,BADL,1988,8,209496
Badlands National Park,BADL,1988,9,126459
Acadia National Park,ACAD,1982,6,404915
Acadia National Park,ACAD,1982,7,737860
Acadia National Park,ACAD,1982,8,574164
Acadia National Park,ACAD,1982,9,541721
Acadia National Park,ACAD,1982,10,446170
Acadia National Park,ACAD,1982,11,303753
Acadia National Park,ACAD,1982,12,28370
Acadia National Park,ACAD,1983,1,23771
Acadia National Park,ACAD,1983,2,24667
Acadia National Park,ACAD,1983,3,25576
Badlands National Park,BADL,1988,10,54669
Badlands National Park,BADL,1988,11,27792
Badlands National Park,BADL,1988,12,15321
Badlands National Park,BADL,1989,1,15639
Badlands National Park,BADL,1989,2,15150
Badlands National Park,BADL,1989,3,23466
Badlands National Park,BADL,1989,4,32748
Badlands National Park,BADL,1989,5,89411
Badlands National Park,BADL,1989,6,229324
Badlands National Park,BADL,1989,7,305833
Badlands National Park,BADL,1989,8,284663
Badlands National Park,BADL,1989,9,140774
Badlands National Park,BADL,1989,10,60704
Badlands National Park,BADL,1989,11,23860
Badlands National Park,BADL,1989,12,16384
Badlands National Park,BADL,1990,1,17072
Badlands National Park,BADL,1990,2,16510
Badlands National Park,BADL,1990,3,25857
Badlands National Park,BADL,1990,4,38693
Badlands National Park,BADL,1990,5,95403
Acadia National Park,ACAD,1983,4,207347
Acadia National Park,ACAD,1983,5,287861
Acadia National Park,ACAD,1983,6,435142
Acadia National Park,ACAD,1983,7,916474
Acadia National Park,ACAD,1983,8,715624
Acadia National Park,ACAD,1983,9,668981
Acadia National Park,ACAD,1983,10,529524
Acadia National Park,ACAD,1983,11,262444
Acadia National Park,ACAD,1983,12,27228
Acadia National Park,ACAD,1984,1,24273
Acadia National Park,ACAD,1984,2,26185
Great Sand Dunes National Park,GRSA,2011,1,1428
Great Sand Dunes National Park,GRSA,2011,2,2316
Badlands National Park,BADL,1990,6,241925
Badlands National Park,BADL,1990,7,337849
Badlands National Park,BADL,1990,8,304124
Badlands National Park,BADL,1990,9,135424
Badlands National Park,BADL,1990,10,66670
Badlands National Park,BADL,1990,11,26415
Badlands National Park,BADL,1990,12,20533
Badlands National Park,BADL,1991,1,16997
Badlands National Park,BADL,1991,2,18277
Badlands National Park,BADL,1991,3,26613
Badlands National Park,BADL,1991,4,96014
Acadia National Park,ACAD,1984,3,37289
Acadia National Park,ACAD,1984,4,229638
Acadia National Park,ACAD,1984,5,271964
Acadia National Park,ACAD,1984,6,458908
Acadia National Park,ACAD,1984,7,790392
Acadia National Park,ACAD,1984,8,865843
Acadia National Park,ACAD,1984,9,443622
Acadia National Park,ACAD,1984,10,361873
Acadia National Park,ACAD,1984,11,194735
Acadia National Park,ACAD,1984,12,30041
Great Sand Dunes National Park,GRSA,2011,3,9919
Great Sand Dunes National Park,GRSA,2011,4,9453
Great Sand Dunes National Park,GRSA,2011,5,43793
Great Sand Dunes National Park,GRSA,2011,6,58163
Great Sand Dunes National Park,GRSA,2011,7,62020
Great Sand Dunes National Park,GRSA,2011,8,44320
Great Sand Dunes National Park,GRSA,2011,9,26900
Great Sand Dunes National Park,GRSA,2011,10,14625
Great Sand Dunes National Park,GRSA,2011,11,4718
Great Sand Dunes National Park,GRSA,2011,12,2403
Badlands National Park,BADL,1991,5,115677
Badlands National Park,BADL,1991,6,255869
Badlands National Park,BADL,1991,7,363803
Badlands National Park,BADL,1991,8,333715
Badlands National Park,BADL,1991,9,180250
Badlands National Park,BADL,1991,10,70108
Badlands National Park,BADL,1991,11,22154
Badlands National Park,BADL,1991,12,18919
Badlands National Park,BADL,1992,1,8513
Badlands National Park,BADL,1992,2,8148
Badlands National Park,BADL,1992,3,19494
Badlands National Park,BADL,1992,4,27163
Badlands National Park,BADL,1992,5,78904
Badlands National Park,BADL,1992,6,214252
Badlands National Park,BADL,1992,7,271982
Badlands National Park,BADL,1992,8,349509
Badlands National Park,BADL,1992,9,142107
Badlands National Park,BADL,1992,10,60738
Badlands National Park,BADL,1992,11,14227
Badlands National Park,BADL,1992,12,10260
Badlands National Park,BADL,1993,1,9886
Badlands National Park,BADL,1993,2,9566
Badlands National Park,BADL,1993,3,17086
Badlands National Park,BADL,1993,4,26717
Badlands National Park,BADL,1993,5,70690
Badlands National Park,BADL,1993,6,192956
Badlands National Park,BADL,1993,7,311931
Badlands National Park,BADL,1993,8,351234
Badlands National Park,BADL,1993,9,120981
Badlands National Park,BADL,1993,10,40869
Badlands National Park,BADL,1993,11,15791
Acadia National Park,ACAD,1985,1,31360
Acadia National Park,ACAD,1985,2,23261
Acadia National Park,ACAD,1985,3,46315
Acadia National Park,ACAD,1985,4,261410
Acadia National Park,ACAD,1985,5,341775
Acadia National Park,ACAD,1985,6,432926
Acadia National Park,ACAD,1985,7,725951
Acadia National Park,ACAD,1985,8,816294
Acadia National Park,ACAD,1985,9,451026
Acadia National Park,ACAD,1985,10,373037
Badlands National Park,BADL,1993,12,11751
Badlands National Park,BADL,1994,1,8995
Badlands National Park,BADL,1994,2,8662
Badlands National Park,BADL,1994,3,19434
Badlands National Park,BADL,1994,4,21843
Badlands National Park,BADL,1994,5,76263
Badlands National Park,BADL,1994,6,185125
Badlands National Park,BADL,1994,7,289085
Badlands National Park,BADL,1994,8,341930
Badlands National Park,BADL,1994,9,111980
Acadia National Park,ACAD,1985,11,206970
Acadia National Park,ACAD,1985,12,35245
Acadia National Park,ACAD,1986,1,28369
Acadia National Park,ACAD,1986,2,33055
Acadia National Park,ACAD,1986,3,47390
Acadia National Park,ACAD,1986,4,257926
Acadia National Park,ACAD,1986,5,411604
Acadia National Park,ACAD,1986,6,486835
Acadia National Park,ACAD,1986,7,717864
Acadia National Park,ACAD,1986,8,809273
Acadia National Park,ACAD,1986,9,488247
Badlands National Park,BADL,1994,10,36357
Badlands National Park,BADL,1994,11,19076
Badlands National Park,BADL,1994,12,11709
Badlands National Park,BADL,1995,1,9689
Badlands National Park,BADL,1995,2,11367
Badlands National Park,BADL,1995,3,17711
Badlands National Park,BADL,1995,4,24072
Badlands National Park,BADL,1995,5,64642
Badlands National Park,BADL,1995,6,185944
Badlands National Park,BADL,1995,7,283530
Everglades National Park,EVER,2007,1,100546
Everglades National Park,EVER,2007,2,102862
Everglades National Park,EVER,2007,3,241397
Everglades National Park,EVER,2007,4,101656
Everglades National Park,EVER,2007,5,60350
Everglades National Park,EVER,2007,6,48303
Everglades National Park,EVER,2007,7,53336
Everglades National Park,EVER,2007,8,49587
Everglades National Park,EVER,2007,9,79819
Everglades National Park,EVER,2007,10,81573
Badlands National Park,BADL,1995,8,288225
Badlands National Park,BADL,1995,9,122438
Badlands National Park,BADL,1995,10,43214
Badlands National Park,BADL,1995,11,16971
Badlands National Park,BADL,1995,12,7766
Badlands National Park,BADL,1996,1,6276
Badlands National Park,BADL,1996,2,9133
Badlands National Park,BADL,1996,3,9457
Badlands National Park,BADL,1996,4,14865
Badlands National Park,BADL,1996,5,54339
Badlands National Park,BADL,1996,6,168458
Badlands National Park,BADL,1996,7,269852
Badlands National Park,BADL,1996,8,298697
Badlands National Park,BADL,1996,9,124891
Badlands National Park,BADL,1996,10,53291
Badlands National Park,BADL,1996,11,11090
Badlands National Park,BADL,1996,12,4356
Badlands National Park,BADL,1997,1,9197
Badlands National Park,BADL,1997,2,5400
Badlands National Park,BADL,1997,3,8952
Badlands National Park,BADL,1997,4,21386
Everglades National Park,EVER,2007,11,74858
Everglades National Park,EVER,2007,12,80477
Acadia National Park,ACAD,1986,10,407396
Acadia National Park,ACAD,1986,11,204770
Acadia National Park,ACAD,1986,12,36325
Acadia National Park,ACAD,1987,1,35579
Acadia National Park,ACAD,1987,2,35766
Acadia National Park,ACAD,1987,3,56924
Acadia National Park,ACAD,1987,4,292358
Acadia National Park,ACAD,1987,5,444265
Acadia National Park,ACAD,1987,6,523486
Acadia National Park,ACAD,1987,7,751309
Badlands National Park,BADL,1997,5,65723
Badlands National Park,BADL,1997,6,185921
Badlands National Park,BADL,1997,7,256102
Badlands National Park,BADL,1997,8,248190
Badlands National Park,BADL,1997,9,110533
Badlands National Park,BADL,1997,10,43189
Badlands National Park,BADL,1997,11,11219
Badlands National Park,BADL,1997,12,4884
Acadia National Park,ACAD,1987,8,786970
Acadia National Park,ACAD,1987,9,562309
Acadia National Park,ACAD,1987,10,444810
Acadia National Park,ACAD,1987,11,299699
Acadia National Park,ACAD,1987,12,54679
Acadia National Park,ACAD,1988,1,43462
Acadia National Park,ACAD,1988,2,30060
Acadia National Park,ACAD,1988,3,54253
Acadia National Park,ACAD,1988,4,223653
Acadia National Park,ACAD,1988,5,448299
Acadia National Park,ACAD,1988,6,582015
Acadia National Park,ACAD,1988,7,799802
Acadia National Park,ACAD,1988,8,909762
Acadia National Park,ACAD,1988,9,601530
Acadia National Park,ACAD,1988,10,455637
Acadia National Park,ACAD,1988,11,303503
Acadia National Park,ACAD,1988,12,50307
Acadia National Park,ACAD,1989,1,41114
Acadia National Park,ACAD,1989,2,42012
Acadia National Park,ACAD,1989,3,74773
Acadia National Park,ACAD,1989,4,324714
Wind Cave National Park,WICA,2007,1,12702
Wind Cave National Park,WICA,2007,2,12201
Acadia National Park,ACAD,1989,5,579272
Acadia National Park,ACAD,1989,6,704488
Acadia National Park,ACAD,1989,7,999535
Acadia National Park,ACAD,1989,8,1045060
Acadia National Park,ACAD,1989,9,666669
Acadia National Park,ACAD,1989,10,610334
Acadia National Park,ACAD,1989,11,302857
Acadia National Park,ACAD,1989,12,50124
Acadia National Park,ACAD,1990,1,16084
Acadia National Park,ACAD,1990,2,13383
Wind Cave National Park,WICA,2007,3,18659
Wind Cave National Park,WICA,2007,4,42150
Wind Cave National Park,WICA,2007,5,62634
Wind Cave National Park,WICA,2007,6,79950
Wind Cave National Park,WICA,2007,7,136038
Wind Cave National Park,WICA,2007,8,120220
Wind Cave National Park,WICA,2007,9,63152
Wind Cave National Park,WICA,2007,10,30479
Wind Cave National Park,WICA,2007,11,13976
Wind Cave National Park,WICA,2007,12,10997
Acadia National Park,ACAD,1990,3,30060
Acadia National Park,ACAD,1990,4,17898
Acadia National Park,ACAD,1990,5,148090
Acadia National Park,ACAD,1990,6,290533
Acadia National Park,ACAD,1990,7,554953
Acadia National Park,ACAD,1990,8,645522
Acadia National Park,ACAD,1990,9,355864
Acadia National Park,ACAD,1990,10,207770
Acadia National Park,ACAD,1990,11,47633
Acadia National Park,ACAD,1990,12,11801
Acadia National Park,ACAD,1991,1,24588
Acadia National Park,ACAD,1991,2,14667
Acadia National Park,ACAD,1991,3,31291
Acadia National Park,ACAD,1991,4,75738
Acadia National Park,ACAD,1991,5,157252
Acadia National Park,ACAD,1991,6,295348
Acadia National Park,ACAD,1991,7,574529
Acadia National Park,ACAD,1991,8,640990
Acadia National Park,ACAD,1991,9,377904
Acadia National Park,ACAD,1991,10,224497
Acadia National Park,ACAD,1991,11,45518
Great Basin National Park,GRBA,2007,1,1427
Great Basin National Park,GRBA,2007,2,943
Great Basin National Park,GRBA,2007,3,2052
Great Basin National Park,GRBA,2007,4,5561
Great Basin National Park,GRBA,2007,5,9553
Great Basin National Park,GRBA,2007,6,15267
Great Basin National Park,GRBA,2007,7,12986
Great Basin National Park,GRBA,2007,8,13111
Great Basin National Park,GRBA,2007,9,11341
Great Basin National Park,GRBA,2007,10,6212
Great Basin National Park,GRBA,2007,11,1982
Great Basin National Park,GRBA,2007,12,929
Acadia National Park,ACAD,1991,12,13535
Acadia National Park,ACAD,1992,1,17510
Acadia National Park,ACAD,1992,2,21110
Acadia National Park,ACAD,1992,3,30312
Acadia National Park,ACAD,1992,4,63276
Acadia National Park,ACAD,1992,5,164400
Acadia National Park,ACAD,1992,6,262173
Acadia National Park,ACAD,1992,7,539109
Acadia National Park,ACAD,1992,8,615843
Acadia National Park,ACAD,1992,9,391798
Acadia National Park,ACAD,1992,10,211573
Acadia National Park,ACAD,1992,11,46316
Acadia National Park,ACAD,1992,12,18693
Acadia National Park,ACAD,1993,1,19402
Acadia National Park,ACAD,1993,2,15556
Acadia National Park,ACAD,1993,3,29040
Acadia National Park,ACAD,1993,4,57707
Acadia National Park,ACAD,1993,5,192823
Acadia National Park,ACAD,1993,6,300647
Acadia National Park,ACAD,1993,7,586449
Acadia National Park,ACAD,1993,8,719671
Acadia National Park,ACAD,1993,9,417317
Acadia National Park,ACAD,1993,10,254615
Acadia National Park,ACAD,1993,11,43755
Acadia National Park,ACAD,1993,12,19052
Acadia National Park,ACAD,1994,1,13364
Acadia National Park,ACAD,1994,2,18112
Acadia National Park,ACAD,1994,3,29086
Acadia National Park,ACAD,1994,4,58788
Acadia National Park,ACAD,1994,5,182781
Acadia National Park,ACAD,1994,6,311803
Acadia National Park,ACAD,1994,7,617622
Acadia National Park,ACAD,1994,8,720079
Acadia National Park,ACAD,1994,9,421106
Acadia National Park,ACAD,1994,10,268779
Acadia National Park,ACAD,1994,11,48907
Acadia National Park,ACAD,1994,12,20322
Acadia National Park,ACAD,1995,1,14894
Acadia National Park,ACAD,1995,2,20510
Acadia National Park,ACAD,1995,3,32120
Acadia National Park,ACAD,1995,4,86198
Acadia National Park,ACAD,1995,5,175550
Acadia National Park,ACAD,1995,6,355270
Acadia National Park,ACAD,1995,7,626947
Acadia National Park,ACAD,1995,8,753799
Acadia National Park,ACAD,1995,9,439553
Acadia National Park,ACAD,1995,10,271606
Acadia National Park,ACAD,1995,11,54121
Acadia National Park,ACAD,1995,12,14810
Acadia National Park,ACAD,1996,1,17655
Acadia National Park,ACAD,1996,2,15576
Acadia National Park,ACAD,1996,3,32452
Acadia National Park,ACAD,1996,4,76597
Acadia National Park,ACAD,1996,5,166290
Acadia National Park,ACAD,1996,6,327723
Acadia National Park,ACAD,1996,7,571017
Acadia National Park,ACAD,1996,8,714090
Acadia National Park,ACAD,1996,9,426562
Acadia National Park,ACAD,1996,10,280577
Acadia National Park,ACAD,1996,11,56828
Acadia National Park,ACAD,1996,12,19464
Acadia National Park,ACAD,1997,1,16292
Acadia National Park,ACAD,1997,2,17230
Acadia National Park,ACAD,1997,3,27035
Acadia National Park,ACAD,1997,4,77005
Acadia National Park,ACAD,1997,5,132194
Acadia National Park,ACAD,1997,6,340064
Acadia National Park,ACAD,1997,7,622847
Acadia National Park,ACAD,1997,8,758140
Acadia National Park,ACAD,1997,9,404808
Acadia National Park,ACAD,1997,10,287171
Acadia National Park,ACAD,1997,11,57810
Voyageurs National Park,VOYA,2007,1,2897
Voyageurs National Park,VOYA,2007,2,4763
Voyageurs National Park,VOYA,2007,3,4339
Voyageurs National Park,VOYA,2007,4,395
Voyageurs National Park,VOYA,2007,5,27169
Voyageurs National Park,VOYA,2007,6,44506
Acadia National Park,ACAD,1997,12,19710
Voyageurs National Park,VOYA,2007,7,48480
Voyageurs National Park,VOYA,2007,8,48738
Voyageurs National Park,VOYA,2007,9,25864
Voyageurs National Park,VOYA,2007,10,10747
Voyageurs National Park,VOYA,2007,11,2384
Voyageurs National Park,VOYA,2007,12,368
Kobuk Valley National Park,KOVA,2011,1,253
Kobuk Valley National Park,KOVA,2011,2,455
Kobuk Valley National Park,KOVA,2011,3,650
Kobuk Valley National Park,KOVA,2011,4,699
Kobuk Valley National Park,KOVA,2011,5,728
Kobuk Valley National Park,KOVA,2011,6,1200
Kobuk Valley National Park,KOVA,2011,7,1250
Kobuk Valley National Park,KOVA,2011,8,1150
Kobuk Valley National Park,KOVA,2011,9,1300
Kobuk Valley National Park,KOVA,2011,10,1400
Kobuk Valley National Park,KOVA,2011,11,1200
Kobuk Valley National Park,KOVA,2011,12,1200
Gateway Arch National Park,JEFF,2011,1,54696
Gateway Arch National Park,JEFF,2011,2,54884
Gateway Arch National Park,JEFF,2011,3,133246
Gateway Arch National Park,JEFF,2011,4,153804
Gateway Arch National Park,JEFF,2011,5,179766
Gateway Arch National Park,JEFF,2011,6,178809
Gateway Arch National Park,JEFF,2011,7,815418
Gateway Arch National Park,JEFF,2011,8,224103
Gateway Arch National Park,JEFF,2011,9,143292
Gateway Arch National Park,JEFF,2011,10,142409
Gateway Arch National Park,JEFF,2011,11,97614
Gateway Arch National Park,JEFF,2011,12,80979
Yellowstone National Park,YELL,2007,1,25476
Yellowstone National Park,YELL,2007,2,30928
Yellowstone National Park,YELL,2007,3,20225
Yellowstone National Park,YELL,2007,4,27798
Yellowstone National Park,YELL,2007,5,264203
Yellowstone National Park,YELL,2007,6,609606
Yellowstone National Park,YELL,2007,7,822773
Yellowstone National Park,YELL,2007,8,710781
Yellowstone National Park,YELL,2007,9,463994
Yellowstone National Park,YELL,2007,10,139789
Yellowstone National Park,YELL,2007,11,15362
Yellowstone National Park,YELL,2007,12,20408
Black Canyon of the Gunnison National Park,BLCA,2007,1,7105
Black Canyon of the Gunnison National Park,BLCA,2007,2,5254
Black Canyon of the Gunnison National Park,BLCA,2007,3,14622
Black Canyon of the Gunnison National Park,BLCA,2007,4,14944
Black Canyon of the Gunnison National Park,BLCA,2007,5,22728
Black Canyon of the Gunnison National Park,BLCA,2007,6,30105
