outcome,pre_rmse,avg_effect,percent_effect
Peak-season visits,2.554779728316131,-19.659464006174886,-13.411812164394558
Annual visits,2.8922744767356092,-28.691452338143392,-16.5725012490866
Peak-season share,1.3991393570977499e-05,4.362610629246424,5.282643136544524
